country_name,country_code,region,sub_region,region_code,sub_region_code
afghanistan,AFG,Asia,Southern Asia,142,34
åland islands,ALA,Europe,Northern Europe,150,154
albania,ALB,Europe,Southern Europe,150,39
algeria,DZA,Africa,Northern Africa,2,15
american samoa,ASM,Oceania,Polynesia,9,61
andorra,AND,Europe,Southern Europe,150,39
angola,AGO,Africa,Sub-Saharan Africa,2,202
anguilla,AIA,Americas,Latin America and the Caribbean,19,419
antarctica,ATA,Antarctic,Subantarctic,672,10
antigua and barbuda,ATG,Americas,Latin America and the Caribbean,19,419
argentina,ARG,Americas,Latin America and the Caribbean,19,419
armenia,ARM,Asia,Western Asia,142,145
aruba,ABW,Americas,Latin America and the Caribbean,19,419
australia,AUS,Oceania,Australia and New Zealand,9,53
austria,AUT,Europe,Western Europe,150,155
azerbaijan,AZE,Asia,Western Asia,142,145
bahamas,BHS,Americas,Latin America and the Caribbean,19,419
bahrain,BHR,Asia,Western Asia,142,145
bangladesh,BGD,Asia,Southern Asia,142,34
barbados,BRB,Americas,Latin America and the Caribbean,19,419
belarus,BLR,Europe,Eastern Europe,150,151
belgium,BEL,Europe,Western Europe,150,155
belize,BLZ,Americas,Latin America and the Caribbean,19,419
benin,BEN,Africa,Sub-Saharan Africa,2,202
bermuda,BMU,Americas,Northern America,19,21
bhutan,BTN,Asia,Southern Asia,142,34
bolivia,BOL,Americas,Latin America and the Caribbean,19,419
"bonaire, sint eustatius and saba",BES,Americas,Latin America and the Caribbean,19,419
bosnia and herzegovina,BIH,Europe,Southern Europe,150,39
botswana,BWA,Africa,Sub-Saharan Africa,2,202
bouvet island,BVT,Americas,Latin America and the Caribbean,19,419
brazil,BRA,Americas,Latin America and the Caribbean,19,419
british indian ocean territory,IOT,Africa,Sub-Saharan Africa,2,202
brunei darussalam,BRN,Asia,South-eastern Asia,142,35
bulgaria,BGR,Europe,Eastern Europe,150,151
burkina faso,BFA,Africa,Sub-Saharan Africa,2,202
burundi,BDI,Africa,Sub-Saharan Africa,2,202
cabo verde,CPV,Africa,Sub-Saharan Africa,2,202
cambodia,KHM,Asia,South-eastern Asia,142,35
cameroon,CMR,Africa,Sub-Saharan Africa,2,202
canada,CAN,Americas,Northern America,19,21
cayman islands,CYM,Americas,Latin America and the Caribbean,19,419
